,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,AVG_SCORE,POPULATION,GDP,GDP_PER_CAPITA
170,2005_PENNSYLVANIA,PENNSYLVANIA,2005,1755560.0,22657782.0,1750988.0,7667114.0,13239680.0,23183924.0,11284717.0,6638401.0,920319.0,1914407.0,241.0,281.0,223.0,267.0,253.0,12449990,587274.2,0.04717065636197298
171,2005_RHODE_ISLAND,RHODE_ISLAND,2005,153596.0,1903472.0,145957.0,747359.0,1010156.0,1790591.0,1023496.0,616544.0,74850.0,20070.0,233.0,272.0,216.0,261.0,245.5,1067916,52286.0,0.04896077968679185
172,2005_SOUTH_CAROLINA,SOUTH_CAROLINA,2005,701176.0,6337711.0,639308.0,2832245.0,2866158.0,6572191.0,3134658.0,1903030.0,342107.0,938347.0,238.0,281.0,213.0,257.0,247.25,4270150,166563.8,0.039006545437513904
173,2005_SOUTH_DAKOTA,SOUTH_DAKOTA,2005,124862.0,1053504.0,176738.0,350316.0,526450.0,1059303.0,539413.0,316892.0,46872.0,124727.0,242.0,287.0,222.0,269.0,255.0,775493,35781.6,0.046140455168518606
174,2005_TENNESSEE,TENNESSEE,2005,940769.0,6806262.0,787269.0,2962151.0,3056842.0,7067521.0,4120045.0,1907907.0,378064.0,483208.0,232.0,271.0,214.0,259.0,244.0,5991057,264652.9,0.04417465899590006
175,2005_TEXAS,TEXAS,2005,4334611.0,37783715.0,4095588.0,13017433.0,20670694.0,40302144.0,18950703.0,10963041.0,1883727.0,5592231.0,242.0,281.0,219.0,258.0,250.0,22778123,1132550.4,0.04972097130215689
176,2005_UTAH,UTAH,2005,488055.0,3181279.0,326400.0,1729443.0,1125436.0,3188018.0,1632553.0,771298.0,241992.0,467720.0,239.0,279.0,221.0,262.0,250.25,2457719,109278.2,0.04446326044596636
177,2005_VERMONT,VERMONT,2005,92819.0,1628681.0,95016.0,1090494.0,443171.0,1634534.0,739981.0,392627.0,36577.0,63280.0,244.0,287.0,227.0,269.0,256.75,621215,26899.5,0.043301433481161916
178,2005_VIRGINIA,VIRGINIA,2005,1203697.0,12182657.0,826830.0,4871813.0,6484014.0,12385157.0,6565022.0,3699703.0,510204.0,1180309.0,240.0,284.0,226.0,268.0,254.5,7577105,415610.6,0.05485084342898772
179,2005_WASHINGTON,WASHINGTON,2005,1019925.0,9141383.0,796450.0,5588494.0,2756439.0,9399603.0,4629347.0,2692637.0,428619.0,1292543.0,242.0,285.0,223.0,265.0,253.75,6257305,343111.9,0.05483381423791872
180,2005_WEST_VIRGINIA,WEST_VIRGINIA,2005,279456.0,2701056.0,329159.0,1607433.0,764464.0,2698703.0,1524187.0,852145.0,174265.0,137026.0,231.0,269.0,215.0,255.0,242.5,1820492,65586.0,0.03602652469771908
181,2005_WISCONSIN,WISCONSIN,2005,869301.0,9584108.0,565072.0,4770290.0,4248746.0,9433502.0,5128207.0,2944041.0,382137.0,472358.0,241.0,285.0,221.0,266.0,253.25,5546166,262068.2,0.04725213778310999
182,2005_WYOMING,WYOMING,2005,84146.0,1132160.0,106484.0,585789.0,439887.0,1033603.0,510498.0,324752.0,29657.0,158464.0,243.0,282.0,223.0,268.0,254.0,514157,33167.3,0.06450811717043628
183,2007_ALABAMA,ALABAMA,2007,743273.0,7069040.0,689072.0,4070949.0,2309019.0,7196459.0,3653466.0,2174210.0,546077.0,687816.0,229.0,266.0,216.0,252.0,240.75,4672840,186499.4,0.039911360115047805
184,2007_ALASKA,ALASKA,2007,132197.0,1800616.0,282270.0,1052357.0,465989.0,1938755.0,927307.0,645857.0,60699.0,257723.0,237.0,283.0,214.0,259.0,248.25,680300,51144.0,0.07517859767749523
185,2007_ARIZONA,ARIZONA,2007,969875.0,8724434.0,953861.0,4204089.0,3566484.0,8709531.0,3977800.0,2656438.0,403069.0,1436673.0,232.0,276.0,210.0,255.0,243.25,6167681,284811.7,0.04617808541005931
186,2007_ARKANSAS,ARKANSAS,2007,474532.0,4415981.0,483689.0,3319030.0,613262.0,4779308.0,2337748.0,1378576.0,450454.0,470562.0,238.0,274.0,217.0,258.0,246.75,2848650,106272.5,0.0373062678812771
187,2007_CALIFORNIA,CALIFORNIA,2007,6288686.0,72516936.0,7200298.0,42333637.0,22983001.0,73225422.0,34685013.0,20655194.0,3467540.0,10058842.0,230.0,270.0,209.0,251.0,240.0,36250311,2103014.8,0.058013703661742376
188,2007_COLORADO,COLORADO,2007,790211.0,7689014.0,529854.0,3307016.0,3852144.0,8039146.0,3782300.0,2483095.0,286754.0,1083411.0,240.0,286.0,224.0,266.0,254.0,4803868,264664.5,0.055094040885386525
189,2007_CONNECTICUT,CONNECTICUT,2007,549230.0,8913149.0,386553.0,3299175.0,5227421.0,8685421.0,4610572.0,2503468.0,311943.0,913165.0,243.0,282.0,227.0,267.0,254.75,3527270,260993.1,0.07399294638629876
190,2007_DELAWARE,DELAWARE,2007,114678.0,1694929.0,102114.0,1071957.0,520858.0,1705204.0,825084.0,481610.0,68343.0,245757.0,242.0,283.0,225.0,265.0,253.75,871749,61229.4,0.07023741925714856
191,2007_FLORIDA,FLORIDA,2007,2656176.0,28898362.0,2489027.0,11578932.0,14830403.0,29849892.0,13476109.0,8136539.0,1515095.0,5992654.0,242.0,277.0,224.0,260.0,250.75,18367842,835637.2,0.04549457688061559
