,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,POPULATION,GDP,GDP_PER_CAPITA
66,2002_KENTUCKY,KENTUCKY,2002,654363.0,4621025.0,486226.0,2743882.0,1390917.0,4541670.0,2598897.0,1424273.0,277021.0,146218.0,,,219.0,265.0,4089875,155672.9,0.038062997035361715
67,2002_LOUISIANA,LOUISIANA,2002,725027.0,5229238.0,667687.0,2536111.0,2025440.0,5298267.0,2882613.0,1536497.0,329637.0,443002.0,,,207.0,256.0,4497267,213120.2,0.047388825257650924
68,2002_MAINE,MAINE,2002,205344.0,2041986.0,141528.0,853761.0,1046697.0,2057022.0,1180701.0,548552.0,78092.0,140092.0,,,225.0,270.0,1295960,50636.0,0.0390721935862218
69,2002_MARYLAND,MARYLAND,2002,860640.0,8430663.0,527311.0,3133775.0,4769577.0,8568446.0,4482809.0,2469485.0,392195.0,941083.0,,,217.0,263.0,5440389,270898.8,0.049794012891357584
70,2002_MASSACHUSETTS,MASSACHUSETTS,2002,959641.0,11217085.0,600037.0,4681737.0,5935311.0,11507438.0,6256148.0,3256542.0,351743.0,1154305.0,,,234.0,271.0,6417206,364926.0,0.056866804649874106
71,2002_MICHIGAN,MICHIGAN,2002,1724961.0,18055855.0,1254550.0,11203813.0,5597492.0,18881772.0,8402799.0,5841256.0,862090.0,2353031.0,,,219.0,265.0,10015710,435280.8,0.04345980464689972
72,2002_MINNESOTA,MINNESOTA,2002,832265.0,8065042.0,409915.0,4771002.0,2884125.0,8716123.0,4113812.0,2071915.0,595228.0,1283085.0,,,225.0,,5018935,252674.8,0.05034430611275101
73,2002_MISSISSIPPI,MISSISSIPPI,2002,492198.0,3029559.0,438583.0,1639832.0,951144.0,3026111.0,1586661.0,875637.0,196509.0,299474.0,,,203.0,255.0,2858681,88354.0,0.030907261075999736
74,2002_MISSOURI,MISSOURI,2002,909918.0,7455539.0,544538.0,3347137.0,3563864.0,7636924.0,3901665.0,2224948.0,432144.0,828732.0,,,220.0,268.0,5674825,246885.3,0.043505359196098554
75,2002_MONTANA,MONTANA,2002,151751.0,1168799.0,151981.0,554360.0,462458.0,1163960.0,662030.0,361751.0,47877.0,70448.0,,,224.0,270.0,911667,32514.1,0.03566444765468093
