,0,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs
200,KG_AS_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
201,KG_AS_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
202,KG_BL_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
203,KG_BL_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
204,KG_HI_F,53,51,53,53,51,53,51,53,51,2,1,2,0,2,0,2,0,53,0
205,KG_HI_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
206,KG_HP_F,53,51,53,53,51,53,51,53,51,39,1,2,1,3,1,3,0,53,0
207,KG_HP_M,53,51,53,53,51,53,51,53,51,40,1,2,0,4,1,3,0,53,0
208,KG_TR_F,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
209,KG_TR_M,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0
210,KG_WH_F,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
211,KG_WH_M,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0
212,PK_AM_F,53,51,53,53,51,53,51,53,51,6,2,4,2,5,3,7,4,53,0
213,PK_AM_M,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
214,PK_AS_F,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
215,PK_AS_M,53,51,53,53,51,53,51,53,51,4,2,3,2,5,2,4,2,53,0
216,PK_BL_F,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
217,PK_BL_M,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
218,PK_HI_F,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
219,PK_HI_M,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
220,PK_HP_F,53,51,53,53,51,53,51,53,51,45,5,5,4,8,8,7,6,53,0
221,PK_HP_M,53,51,53,53,51,53,51,53,51,42,9,7,5,7,5,5,5,53,0
222,PK_TR_F,53,51,53,53,51,53,51,53,51,40,2,3,1,4,2,4,2,53,0
223,PK_TR_M,53,51,53,53,51,53,51,53,51,40,2,3,1,4,2,4,2,53,0
224,PK_WH_F,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
225,PK_WH_M,53,51,53,53,51,53,51,53,51,4,2,3,1,4,2,4,2,53,0
226,G04_A_A_READING,52,51,7,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
227,G04_A_A_MATHEMATICS,10,51,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
228,G04_A_M_READING,52,51,7,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
229,G04_A_M_MATHEMATICS,10,51,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
230,G04_A_F_READING,52,51,7,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
231,G04_A_F_MATHEMATICS,10,51,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
232,G04_WH_A_READING,53,51,53,53,51,53,51,53,51,53,51,0,51,0,51,0,51,0,0
233,G04_WH_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,0,51,0,51,0,51,0,0
234,G04_BL_A_READING,53,51,53,53,51,53,51,53,51,53,51,5,51,5,51,9,51,10,0
235,G04_BL_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,6,51,6,51,8,51,8,0
236,G04_HI_A_READING,53,51,53,53,51,53,51,53,51,53,51,3,51,3,51,3,51,3,0
237,G04_HI_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,3,51,3,51,3,51,3,0
238,G04_AS_A_READING,53,51,53,53,51,53,51,53,51,53,51,15,51,17,51,25,51,22,0
239,G04_AS_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,15,51,17,51,24,51,21,0
240,G04_AM_A_READING,53,51,53,53,51,53,51,53,51,53,51,39,51,42,51,39,51,44,0
241,G04_AM_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,38,51,42,51,40,51,44,0
242,G04_HP_A_READING,53,51,53,53,51,53,51,53,51,53,51,49,51,50,51,50,51,50,0
243,G04_HP_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,50,51,50,51,50,51,50,0
244,G04_TR_A_READING,53,51,53,53,51,53,51,53,51,53,51,22,51,22,51,18,51,12,0
245,G04_TR_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,22,51,21,51,19,51,12,0
246,G08_A_A_READING,53,51,9,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
247,G08_A_A_MATHEMATICS,11,51,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
248,G08_A_M_READING,53,51,9,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
249,G08_A_M_MATHEMATICS,11,51,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
250,G08_A_F_READING,53,51,9,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
251,G08_A_F_MATHEMATICS,11,51,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,0
252,G08_WH_A_READING,53,51,53,53,51,53,51,53,51,53,51,0,51,0,51,0,51,0,0
253,G08_WH_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,0,51,0,51,0,51,0,0
254,G08_BL_A_READING,53,51,53,53,51,53,51,53,51,53,51,7,51,8,51,8,51,10,0
255,G08_BL_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,7,51,7,51,11,51,10,0
256,G08_HI_A_READING,53,51,53,53,51,53,51,53,51,53,51,5,51,4,51,4,51,3,0
257,G08_HI_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,4,51,4,51,3,51,3,0
258,G08_AS_A_READING,53,51,53,53,51,53,51,53,51,53,51,22,51,22,51,24,51,21,0
259,G08_AS_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,22,51,19,51,23,51,22,0
260,G08_AM_A_READING,53,51,53,53,51,53,51,53,51,53,51,40,51,43,51,40,51,44,0
261,G08_AM_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,40,51,44,51,39,51,44,0
262,G08_HP_A_READING,53,51,53,53,51,53,51,53,51,53,51,51,51,50,51,50,51,50,0
263,G08_HP_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,51,51,50,51,51,51,50,0
264,G08_TR_A_READING,53,51,53,53,51,53,51,53,51,53,51,35,51,26,51,27,51,20,0
265,G08_TR_A_MATHEMATICS,53,51,53,53,51,53,51,53,51,53,51,33,51,27,51,27,51,20,0
