PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1994_OKLAHOMA,OKLAHOMA,1994,316322.0,1518540.0,120788.0,839113.0,558639.0,1529205.0,765718.0,473061.0,116301.0,129800.0,,,,
1994_OREGON,OREGON,1994,518425.0,3088542.0,212544.0,1215471.0,1660527.0,3191792.0,1719357.0,1068111.0,110201.0,223352.0,,,,
1994_PENNSYLVANIA,PENNSYLVANIA,1994,1720681.0,13271564.0,686113.0,5132066.0,7453385.0,13701725.0,7100564.0,3795048.0,703486.0,963256.0,,,215.0,
1994_RHODE_ISLAND,RHODE_ISLAND,1994,144918.0,1012987.0,48443.0,385626.0,578918.0,994885.0,642068.0,300816.0,14152.0,14866.0,,,220.0,
1994_SOUTH_CAROLINA,SOUTH_CAROLINA,1994,634415.0,3179542.0,285908.0,1470131.0,1423503.0,3156251.0,1646310.0,961618.0,211713.0,251078.0,,,203.0,
1994_SOUTH_DAKOTA,SOUTH_DAKOTA,1994,108439.0,507927.0,51846.0,126591.0,329490.0,525289.0,284638.0,148152.0,23351.0,52745.0,,,,
1994_TENNESSEE,TENNESSEE,1994,857014.0,3535898.0,341912.0,1694595.0,1499391.0,3661470.0,2101003.0,996094.0,225590.0,270608.0,,,213.0,
1994_TEXAS,TEXAS,1994,3601627.0,19713604.0,1456330.0,8569649.0,9687625.0,19224149.0,9814470.0,6093204.0,936331.0,1717181.0,,,212.0,
1994_UTAH,UTAH,1994,469811.0,1792011.0,125520.0,982848.0,683643.0,1846448.0,997141.0,413388.0,137271.0,256177.0,,,217.0,
1994_VERMONT,VERMONT,1994,98377.0,892124.0,34989.0,219927.0,637208.0,869710.0,419793.0,203059.0,25011.0,38902.0,,,,
1994_VIRGINIA,VIRGINIA,1994,1044721.0,6125739.0,372866.0,2399644.0,3353229.0,6276362.0,3271356.0,1883438.0,314439.0,587495.0,,,213.0,
1994_WASHINGTON,WASHINGTON,1994,915952.0,5739012.0,327784.0,3978265.0,1432963.0,5968590.0,2918426.0,1741684.0,252127.0,840257.0,,,213.0,
1994_WEST_VIRGINIA,WEST_VIRGINIA,1994,313750.0,1854403.0,147289.0,1185501.0,521613.0,1843973.0,1051169.0,507996.0,116579.0,151404.0,,,213.0,
1994_WISCONSIN,WISCONSIN,1994,843747.0,5682439.0,238786.0,2363863.0,3079790.0,5860230.0,3257526.0,1689034.0,193556.0,504767.0,,,224.0,
1994_WYOMING,WYOMING,1994,100899.0,674921.0,38849.0,351472.0,284600.0,623146.0,344562.0,192234.0,21161.0,48647.0,,,221.0,
1996_ALABAMA,ALABAMA,1996,735912.0,3365113.0,334858.0,2138717.0,891538.0,3572283.0,1987018.0,935115.0,322883.0,286699.0,,,,
1996_ALASKA,ALASKA,1996,126189.0,1120346.0,123505.0,706116.0,290725.0,1240031.0,636959.0,365085.0,38996.0,179297.0,,,,
1996_ARIZONA,ARIZONA,1996,764681.0,4143304.0,378917.0,1798363.0,1966024.0,4391555.0,1860007.0,1193260.0,220650.0,877190.0,,,,
1996_ARKANSAS,ARKANSAS,1996,452907.0,2183384.0,192152.0,1296247.0,694985.0,2297381.0,1264275.0,636106.0,127007.0,203555.0,,,,
1996_CALIFORNIA,CALIFORNIA,1996,5460484.0,31282981.0,2603882.0,17061474.0,11617625.0,31561692.0,16880730.0,9222569.0,2362407.0,2580639.0,,,,
1996_COLORADO,COLORADO,1996,655679.0,3891203.0,194998.0,1664676.0,2031529.0,4075165.0,2052264.0,1127563.0,143767.0,588209.0,,,,
1996_CONNECTICUT,CONNECTICUT,1996,499815.0,4686025.0,162218.0,1703171.0,2820636.0,4538234.0,2701637.0,1296119.0,149792.0,149327.0,,,,
